Term                 | Document ID          | Term Frequency
mathemat             | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
mathemat             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
mathemat             | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
mathemat             | https://en.wikipedia.org/wiki/Pharaoh | 1         
mathemat             | https://en.wikipedia.org/wiki/Wikipedia:Contents | 5         
pick                 | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
brooklyn             | https://en.wikipedia.org/wiki/Pharaoh | 1         
kernowek             | https://en.wikipedia.org/wiki/Help:Contents | 1         
rabbin               | https://en.wikipedia.org/wiki/Pharaoh | 4         
teo                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
teo                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
teo                  | https://en.wikipedia.org/wiki/Pharaoh | 1         
zosta                | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
zosta                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
mtatarca             | https://en.wikipedia.org/wiki/Help:Contents | 1         
hsekiu               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
hsekiu               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
hsekiu               | https://en.wikipedia.org/wiki/Pharaoh | 1         
rhein                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
rhein                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
diplomaci            | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
switzerland          | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
stabil               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
stabil               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
heqamaatr            | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
heqamaatr            | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
click                | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
click                | https://en.wikipedia.org/wiki/Help:Contents | 1         
click                | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
persian              | https://en.wikipedia.org/wiki/List_of_pharaohs | 14        
persian              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 14        
persian              | https://en.wikipedia.org/wiki/Pharaoh | 2         
remak                | https://en.wikipedia.org/wiki/Main_Page | 1         
gottheiten           | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
gottheiten           | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
left                 | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
jiuquan              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
rolf                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
rolf                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
ammeri               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
ammeri               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
ammeri               | https://en.wikipedia.org/wiki/Pharaoh | 1         
coron                | https://en.wikipedia.org/wiki/Pharaoh | 2         
minangkabau          | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
minangkabau          | https://en.wikipedia.org/wiki/Help:Contents | 1         
lombard              | https://en.wikipedia.org/wiki/Help:Contents | 1         
role                 | https://en.wikipedia.org/wiki/Pharaoh | 2         
hypothesi            | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
hypothesi            | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
tura                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
tura                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
imbu                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
roll                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
roll                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
turo                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
pronounc             | https://en.wikipedia.org/wiki/Pharaoh | 2         
contemporan          | https://en.wikipedia.org/wiki/Pharaoh | 1         
turn                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
elect                | https://en.wikipedia.org/wiki/Portal:Current_events | 7         
elect                | https://en.wikipedia.org/wiki/Main_Page | 1         
elect                | https://en.wikipedia.org/wiki/Special:Random | 1         
khabash              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
khabash              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
khabash              | https://en.wikipedia.org/wiki/Pharaoh | 1         
polici               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
polici               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
polici               | https://en.wikipedia.org/wiki/Portal:Current_events | 3         
polici               | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 2         
polici               | https://en.wikipedia.org/wiki/Wikipedia:About | 8         
polici               | https://en.wikipedia.org/wiki/Help:Contents | 9         
polici               | https://en.wikipedia.org/wiki/Main_Page | 3         
polici               | https://en.wikipedia.org/wiki/Special:Random | 2         
polici               | https://en.wikipedia.org/wiki/Pharaoh | 2         
polici               | https://en.wikipedia.org/wiki/Wikipedia:Contents | 3         
result               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
result               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
result               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
result               | https://en.wikipedia.org/wiki/Help:Contents | 1         
gold                 | https://en.wikipedia.org/wiki/Main_Page | 1         
gold                 | https://en.wikipedia.org/wiki/Pharaoh | 4         
golf                 | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
same                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 17        
same                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 17        
thame                | https://en.wikipedia.org/wiki/List_of_pharaohs | 9         
thame                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 9         
thame                | https://en.wikipedia.org/wiki/Pharaoh | 4         
wildfir              | https://en.wikipedia.org/wiki/Portal:Current_events | 3         
after                | https://en.wikipedia.org/wiki/List_of_pharaohs | 20        
after                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 20        
after                | https://en.wikipedia.org/wiki/Portal:Current_events | 7         
after                | https://en.wikipedia.org/wiki/Main_Page | 1         
after                | https://en.wikipedia.org/wiki/Special:Random | 2         
after                | https://en.wikipedia.org/wiki/Pharaoh | 4         
meryr                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
meryr                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
quier                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
quier                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
connect              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
hand                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
hand                 | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
address              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
address              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
address              | https://en.wikipedia.org/wiki/Pharaoh | 3         
piec                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
piec                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
piec                 | https://en.wikipedia.org/wiki/Main_Page | 1         
piec                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
c                    | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
c                    | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
c                    | https://en.wikipedia.org/wiki/Special:Random | 2         
d                    | https://en.wikipedia.org/wiki/Main_Page | 1         
limeston             | https://en.wikipedia.org/wiki/List_of_pharaohs | 7         
limeston             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 7         
norwai               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
norwai               | https://en.wikipedia.org/wiki/Main_Page | 1         
norwai               | https://en.wikipedia.org/wiki/Special:Random | 1         
i                    | https://en.wikipedia.org/wiki/List_of_pharaohs | 66        
i                    | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 66        
i                    | https://en.wikipedia.org/wiki/Portal:Current_events | 22        
i                    | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 4         
i                    | https://en.wikipedia.org/wiki/Wikipedia:About | 10        
i                    | https://en.wikipedia.org/wiki/Help:Contents | 12        
i                    | https://en.wikipedia.org/wiki/Main_Page | 8         
i                    | https://en.wikipedia.org/wiki/Special:Random | 3         
i                    | https://en.wikipedia.org/wiki/Pharaoh | 47        
i                    | https://en.wikipedia.org/wiki/Wikipedia:Contents | 2         
hamm                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
hamm                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
majesti              | https://en.wikipedia.org/wiki/Pharaoh | 2         
autuori              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
autuori              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
o                    | https://en.wikipedia.org/wiki/Help:Contents | 1         
poorli               | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
poorli               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
thi                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 35        
thi                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 35        
thi                  | https://en.wikipedia.org/wiki/Portal:Current_events | 5         
thi                  | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 2         
thi                  | https://en.wikipedia.org/wiki/Wikipedia:About | 4         
thi                  | https://en.wikipedia.org/wiki/Help:Contents | 7         
thi                  | https://en.wikipedia.org/wiki/Main_Page | 5         
thi                  | https://en.wikipedia.org/wiki/Special:Random | 3         
thi                  | https://en.wikipedia.org/wiki/Pharaoh | 27        
thi                  | https://en.wikipedia.org/wiki/Wikipedia:Contents | 6         
t                    | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
t                    | https://en.wikipedia.org/wiki/Help:Contents | 1         
u                    | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
u                    | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
u                    | https://en.wikipedia.org/wiki/Portal:Current_events | 8         
u                    | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 6         
u                    | https://en.wikipedia.org/wiki/Wikipedia:About | 2         
u                    | https://en.wikipedia.org/wiki/Help:Contents | 4         
u                    | https://en.wikipedia.org/wiki/Main_Page | 1         
u                    | https://en.wikipedia.org/wiki/Special:Random | 1         
u                    | https://en.wikipedia.org/wiki/Pharaoh | 2         
u                    | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
abolit               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
abolit               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
abolit               | https://en.wikipedia.org/wiki/Pharaoh | 1         
fifth                | https://en.wikipedia.org/wiki/List_of_pharaohs | 8         
fifth                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 8         
fifth                | https://en.wikipedia.org/wiki/Pharaoh | 2         
thank                | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
tho                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
tho                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
regain               | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
regain               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
imag                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 51        
imag                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 51        
imag                 | https://en.wikipedia.org/wiki/Wikipedia:About | 3         
imag                 | https://en.wikipedia.org/wiki/Help:Contents | 6         
imag                 | https://en.wikipedia.org/wiki/Main_Page | 1         
imag                 | https://en.wikipedia.org/wiki/Pharaoh | 3         
imag                 | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
totemey              | https://en.wikipedia.org/wiki/Special:Random | 1         
demonstr             | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
demonstr             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
demonstr             | https://en.wikipedia.org/wiki/Pharaoh | 1         
thu                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
thu                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
thu                  | https://en.wikipedia.org/wiki/Pharaoh | 2         
incid                | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
shemai               | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
shemai               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
shemai               | https://en.wikipedia.org/wiki/Pharaoh | 1         
confront             | https://en.wikipedia.org/wiki/Main_Page | 1         
subpag               | https://en.wikipedia.org/wiki/Portal:Current_events | 3         
advic                | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
advic                | https://en.wikipedia.org/wiki/Help:Contents | 1         
good                 | https://en.wikipedia.org/wiki/Pharaoh | 5         
good                 | https://en.wikipedia.org/wiki/Wikipedia:Contents | 9         
hapu                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
hapu                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
violenc              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
somalia              | https://en.wikipedia.org/wiki/Portal:Current_events | 3         
pamiu                | https://en.wikipedia.org/wiki/Pharaoh | 1         
liechtenstein        | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
zwei                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
zwei                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
gyptisch             | https://en.wikipedia.org/wiki/List_of_pharaohs | 3         
gyptisch             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 3         
serious              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
tip                  | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
tip                  | https://en.wikipedia.org/wiki/Help:Contents | 8         
tip                  | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
export               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
export               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
export               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
export               | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
export               | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
export               | https://en.wikipedia.org/wiki/Help:Contents | 1         
export               | https://en.wikipedia.org/wiki/Main_Page | 1         
export               | https://en.wikipedia.org/wiki/Special:Random | 1         
export               | https://en.wikipedia.org/wiki/Pharaoh | 1         
export               | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
krokodil             | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
krokodil             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
rome                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 6         
rome                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 6         
tiu                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
tiu                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
tiu                  | https://en.wikipedia.org/wiki/Pharaoh | 1         
che                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
che                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
practic              | https://en.wikipedia.org/wiki/List_of_pharaohs | 4         
practic              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 4         
practic              | https://en.wikipedia.org/wiki/Help:Contents | 1         
practic              | https://en.wikipedia.org/wiki/Pharaoh | 3         
chi                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
chi                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
chi                  | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
tiy                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
tiy                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
djedkheperew         | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
djedkheperew         | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
djedkheperew         | https://en.wikipedia.org/wiki/Pharaoh | 1         
reduc                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
reduc                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
check                | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
check                | https://en.wikipedia.org/wiki/Help:Contents | 3         
onto                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
onto                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
sparta               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
sparta               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
gone                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
gone                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
gone                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
resolut              | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
resolut              | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
resolut              | https://en.wikipedia.org/wiki/Help:Contents | 1         
nakhtyr              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
nakhtyr              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
atlant               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
atlant               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
dakhleh              | https://en.wikipedia.org/wiki/Pharaoh | 1         
memphi               | https://en.wikipedia.org/wiki/List_of_pharaohs | 5         
memphi               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 5         
hundr                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
hundr                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
cid                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
cid                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
nter                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
nter                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
disch                | https://en.wikipedia.org/wiki/Pharaoh | 1         
rbaycanca            | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
rbaycanca            | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
rbaycanca            | https://en.wikipedia.org/wiki/Help:Contents | 1         
rbaycanca            | https://en.wikipedia.org/wiki/Main_Page | 2         
rbaycanca            | https://en.wikipedia.org/wiki/Pharaoh | 1         
ascend               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
ascend               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
ensur                | https://en.wikipedia.org/wiki/Pharaoh | 2         
shepseskar           | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
shepseskar           | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
shepseskar           | https://en.wikipedia.org/wiki/Pharaoh | 1         
rope                 | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
rope                 | https://en.wikipedia.org/wiki/Help:Contents | 1         
primari              | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
primari              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
primari              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
shepseskaf           | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
shepseskaf           | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
shepseskaf           | https://en.wikipedia.org/wiki/Pharaoh | 1         
euroleagu            | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
denmark              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
darrel               | https://en.wikipedia.org/wiki/List_of_pharaohs | 24        
darrel               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 24        
termina              | https://en.wikipedia.org/wiki/Main_Page | 1         
hathor               | https://en.wikipedia.org/wiki/Pharaoh | 1         
root                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
root                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
patrick              | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
iwaenpanetjernehem   | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
iwaenpanetjernehem   | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
martindal            | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
societi              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
societi              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
societi              | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
societi              | https://en.wikipedia.org/wiki/Pharaoh | 4         
societi              | https://en.wikipedia.org/wiki/Wikipedia:Contents | 7         
tla                  | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
tla                  | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
ladin                | https://en.wikipedia.org/wiki/Help:Contents | 1         
varga                | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
varga                | https://en.wikipedia.org/wiki/Main_Page | 1         
hrsg                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
hrsg                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
energi               | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
better               | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
better               | https://en.wikipedia.org/wiki/Help:Contents | 2         
mortuari             | https://en.wikipedia.org/wiki/List_of_pharaohs | 5         
mortuari             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 5         
dreyer               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
dreyer               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
gauthier             | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
gauthier             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
well                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 4         
well                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 4         
well                 | https://en.wikipedia.org/wiki/Pharaoh | 2         
well                 | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
syntax               | https://en.wikipedia.org/wiki/Help:Contents | 1         
norah                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
norah                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
bifao                | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
bifao                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
handbuch             | https://en.wikipedia.org/wiki/List_of_pharaohs | 7         
handbuch             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 7         
handbuch             | https://en.wikipedia.org/wiki/Pharaoh | 1         
ankhmaki             | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
ankhmaki             | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
bettenworth          | https://en.wikipedia.org/wiki/Pharaoh | 1         
empti                | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
hedjet               | https://en.wikipedia.org/wiki/Pharaoh | 6         
expos                | https://en.wikipedia.org/wiki/Pharaoh | 1         
catalog              | https://en.wikipedia.org/wiki/Wikipedia:Contents | 1         
anat                 | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
anat                 | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
coreg                | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
coreg                | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
napata               | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
napata               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
rahotep              | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
rahotep              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
rahotep              | https://en.wikipedia.org/wiki/Pharaoh | 1         
myth                 | https://en.wikipedia.org/wiki/Pharaoh | 1         
block                | https://en.wikipedia.org/wiki/Portal:Current_events | 1         
block                | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
block                | https://en.wikipedia.org/wiki/Help:Contents | 1         
shishaq              | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
shishaq              | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
epiphaneia           | https://en.wikipedia.org/wiki/List_of_pharaohs | 1         
epiphaneia           | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 1         
epiphaneia           | https://en.wikipedia.org/wiki/Pharaoh | 1         
propos               | https://en.wikipedia.org/wiki/List_of_pharaohs | 2         
propos               | https://en.wikipedia.org/wiki/List_of_pharaohs#bodyContent | 2         
propos               | https://en.wikipedia.org/wiki/Portal:Current_events | 2         
propos               | https://en.wikipedia.org/wiki/Wikipedia:Contact_us | 1         
propos               | https://en.wikipedia.org/wiki/Wikipedia:About | 1         
